,Average Fitness,Best Individual,Fitness Best,Fitness Worst
480,998.47,[1 1 1 ... 1 1 1],1002,995
481,998.95,[1 1 1 ... 1 1 1],1002,995
482,999.4,[1 1 1 ... 1 1 1],1002,996
483,999.95,[1 1 1 ... 1 1 1],1002,996
484,1000.44,[1 1 1 ... 1 1 1],1004,998
485,1000.65,[1 1 1 ... 1 1 1],1004,998
486,1000.75,[1 1 1 ... 1 1 1],1004,998
487,1001.05,[1 1 1 ... 1 1 1],1004,998
488,1001.21,[1 1 1 ... 1 1 1],1004,998
489,1001.55,[1 1 1 ... 1 1 1],1005,999
490,1001.96,[1 1 1 ... 1 1 1],1005,1000
491,1002.14,[1 1 1 ... 1 1 1],1005,1000
492,1002.6,[1 1 1 ... 1 1 1],1005,1000
493,1003.04,[1 1 1 ... 1 1 1],1007,1001
494,1003.35,[1 1 1 ... 1 1 1],1006,1001
495,1003.82,[1 1 1 ... 1 1 1],1008,1001
496,1004.42,[1 1 1 ... 1 1 1],1009,1002
497,1004.88,[1 1 1 ... 1 1 1],1008,1002
498,1005.66,[1 1 1 ... 1 1 1],1009,1002
499,1006.15,[1 1 1 ... 1 1 1],1010,1002
500,1006.29,[1 1 1 ... 1 1 1],1010,1002
501,1006.89,[1 1 1 ... 1 1 1],1011,1002
502,1007.36,[1 1 1 ... 1 1 1],1011,1002
503,1007.75,[1 1 1 ... 1 1 1],1010,1002
504,1008.25,[1 1 1 ... 1 1 1],1012,1005
505,1008.58,[1 1 1 ... 1 1 1],1013,1005
506,1008.87,[1 1 1 ... 1 1 1],1012,1005
507,1009.12,[1 1 1 ... 1 1 1],1012,1005
508,1009.34,[1 1 1 ... 1 1 1],1012,1005
509,1009.66,[1 1 1 ... 1 1 1],1012,1006
510,1009.93,[1 1 1 ... 1 1 1],1012,1006
511,1010.09,[1 1 1 ... 1 1 1],1012,1006
512,1010.34,[1 1 1 ... 1 1 1],1013,1006
513,1010.75,[1 1 1 ... 1 1 1],1015,1006
514,1011.18,[1 1 1 ... 1 1 1],1015,1009
515,1011.23,[1 1 1 ... 1 1 1],1015,1009
516,1011.68,[1 1 1 ... 1 1 1],1016,1010
517,1012.0,[1 1 1 ... 1 1 1],1016,1010
518,1012.73,[1 1 1 ... 1 1 1],1017,1010
519,1013.1,[1 1 1 ... 1 1 1],1019,1010
520,1013.72,[1 1 1 ... 1 1 1],1019,1010
521,1014.26,[1 1 1 ... 1 1 1],1020,1010
522,1015.1,[1 1 1 ... 1 1 1],1021,1010
523,1015.81,[1 1 1 ... 1 1 1],1021,1010
524,1016.54,[1 1 1 ... 1 1 1],1021,1010
525,1017.28,[1 1 1 ... 1 1 1],1021,1010
526,1017.87,[1 1 1 ... 1 1 1],1022,1013
